,user_id,movie_id,rating,timestamp
0,115,179,4,1672116448
1,10,3258,4,1678920380
2,922,1932,2,1678280614
3,278,266,3,1582430063
4,624,1942,2,1630269618
5,18,4805,1,1574016780
6,690,137,3,1567315273
7,444,4506,5,1532147172
8,76,784,3,1658325525
9,81,4130,5,1509214031
10,609,4628,2,1674341465
11,386,3229,4,1643448063
12,541,3467,4,1534939370
13,48,1830,3,1651068917
14,46,152,2,1621451734
15,228,1725,2,1656800707
16,764,390,5,1544096822
17,155,1492,2,1653999497
18,975,107,1,1512884837
19,71,3695,1,1576306142
20,808,2515,3,1634427180
21,784,581,2,1543517118
22,341,2939,2,1611954768
23,720,804,4,1681870781
24,229,218,1,1553082815
25,236,2922,3,1646352112
26,809,1712,1,1567841184
27,599,4226,3,1646241465
28,889,1035,1,1535370229
29,450,1504,4,1673034549
30,72,3814,2,1528299502
31,390,4986,4,1694418627
32,672,4694,3,1624486479
33,447,2888,2,1502840271
34,38,1182,1,1552330204
35,698,206,5,1521744353
36,105,503,4,1587826743
37,391,4504,5,1565097232
38,839,2496,5,1502161610
39,689,3657,4,1617727644
40,319,4873,3,1659299697
41,821,1061,5,1521129738
42,293,723,1,1683445090
43,790,4572,1,1563256202
44,246,2378,5,1695749993
45,666,1938,3,1518818100
46,37,352,3,1673191067
47,390,1103,5,1633322774
48,481,2086,5,1553914973
49,544,136,1,1619282207
50,717,1478,2,1614640481
51,179,3663,3,1554277096
52,803,131,2,1603633853
53,789,2737,4,1650184451
54,585,877,3,1625808312
55,359,1529,5,1672087322
56,147,28,2,1526778437
57,454,3695,3,1626911839
58,453,500,5,1530728795
59,561,4898,4,1625145467
60,932,2274,5,1635967791
61,550,1662,1,1619618818
62,564,1153,3,1670982138
63,129,4933,5,1619374007
64,76,3283,5,1560122598
65,6,4490,3,1651199131
66,442,317,3,1535466575
67,130,3012,1,1551216715
68,314,378,1,1559412795
69,442,1467,5,1523239872
70,789,4581,5,1531271799
71,367,1587,4,1542841774
72,937,670,5,1695476383
73,572,3289,1,1553791257
74,55,3626,2,1675282615
75,435,441,4,1520691470
76,209,2503,4,1519172492
77,529,1850,4,1595629308
78,266,1870,1,1604625136
79,582,4261,5,1666584682
80,714,3610,3,1562072616
81,606,2060,3,1567803385
82,442,4197,3,1679609742
83,875,4463,3,1588353201
84,907,915,3,1512179789
85,556,360,5,1515135849
86,465,1555,5,1589373109
87,659,3437,4,1645589185
88,619,1882,5,1612563716
89,714,4349,4,1506129099
90,786,271,2,1565980747
91,388,2237,4,1679984863
92,295,1723,2,1694349018
93,900,4354,4,1611985704
94,652,110,2,1535549912
95,290,2662,3,1679651543
96,216,4327,1,1644358332
97,550,3498,5,1554038666
98,374,1730,2,1612775184
99,746,3825,4,1615078781
100,790,2371,4,1680392008
101,929,1751,4,1692400626
102,453,655,4,1604840737
103,50,3467,3,1678296271
104,273,1072,4,1615829919
105,407,999,2,1690372179
106,628,1032,5,1510187704
107,169,2273,4,1555554952
108,777,1483,4,1630699309
109,4,4767,2,1547679981
110,756,676,3,1564542954
111,274,4887,4,1509030490
112,299,4401,2,1613904116
113,761,1996,3,1526615962
114,800,3944,2,1524897915
115,281,4065,3,1542091526
116,355,2846,3,1606405858
117,45,1539,3,1535903721
118,13,385,5,1546046107
119,907,4079,5,1699743799
120,841,1224,4,1652921867
